osm_id,service_type,name,lat,lon
10177787829,pharmacy,Амброзия,42.873058,25.315058
10180682544,school,ОУ Св. Св. Кирил и Методии,43.230779,24.394351
10180682545,pharmacy,SOpharmacy,42.765149,23.567249
10180698281,pharmacy,Sopharmacy,43.409069,24.444132
10180709065,pharmacy,Марешки,43.281392,24.086438
10180715196,kindergarten,"Вяра, Надежда и Любов",42.691912,23.703641
10180727832,school,ОУ Христо Ботев,43.328305,24.067408
10180735299,school,ОУ Любен Каравелов,43.199904,24.31919
10180747476,pharmacy,,43.347852,24.414303
10180750421,kindergarten,,43.328692,24.067367
10180755024,kindergarten,,43.151196,24.281331
10180756019,kindergarten,Щастливо детство,43.325695,24.477997
10184381031,pharmacy,Subra,42.494452,24.187729
10186680827,pharmacy,Марешки,42.976808,25.475416
10198893968,kindergarten,ЦДГ „Иглика“,43.837426,25.956345
10198893973,school,"ОУ ""Любен Каравелов""",43.84923,25.949017
10200401590,pharmacy,Оптима,42.974647,25.473332
10201904169,pharmacy,Ремедиум,42.662915,23.355601
10204022623,school,"Средно училище ""Христо Ботев""",41.833979,25.33074
10204022624,school,"Средно училище ""Христо Ботев""",41.837158,25.33109
10204045962,school,"ОУ ""Максим Горки""",41.688158,25.499697
10212445512,pharmacy,Нота Бене,42.614978,23.338833
10212453426,pharmacy,Медея,42.615627,23.337897
10212453509,pharmacy,SOpharmacy,42.642023,23.334381
10215117759,clinic,Д-р Павлина Джамбазова,42.631927,23.312291
10216508373,kindergarten,ДГ Великанче,42.099197,27.940256
10219177017,hospital,Очна Болница “Зора”,42.662482,23.380351
10221045704,hospital,Вита Мед,42.640945,24.804762
10221053202,pharmacy,,42.888221,24.712708
10221067730,kindergarten,ЦДГ Русалка,42.849341,24.890481
10221079448,pharmacy,Марешки,42.891124,24.713007
10222012564,pharmacy,,42.09971,27.94181
10222616724,clinic,Център за зрение д-р Групчеви,43.220791,27.920984
10232755101,school,СУ „Йордан Йовков“,42.527199,27.46166
10232755102,school,СУ „Добри Чинтулов“,42.527488,27.461483
10232770719,pharmacy,Марешки,42.527245,27.467046
10234241363,pharmacy,Нове фарм,42.669344,23.276432
