osm_id,service_type,amenity_raw,name,lat,lon,district
4884675821,school,school,"СОУ ""Христо Смирненски""",42.041525,23.875454,Pazardzhik
4889882706,pharmacy,pharmacy,,43.571226,27.832077,Dobrich
4892777020,school,school,Бивше училище,42.229411,24.302214,Pazardzhik
4894405788,pharmacy,pharmacy,,43.209637,27.90251,Varna
4906376221,kindergarten,kindergarten,Детска градина,42.633002,26.563429,Sliven
4906681021,kindergarten,kindergarten,Детска ясла,43.826313,25.976315,Ruse
4913977122,pharmacy,pharmacy,Тилия,42.559319,27.638359,Burgas
4914006521,pharmacy,pharmacy,,42.563063,27.639122,Burgas
4915908822,pharmacy,pharmacy,,42.558732,27.638858,Burgas
4919622610,school,school,"ОУ ""Васил Април""",42.135734,25.136424,Plovdiv
4919737637,clinic,clinic,ОртоМедика,42.702141,23.321923,Sofia (Capital)
4919989323,hospital,hospital,,42.561782,27.638139,Burgas
4920522822,hospital,hospital,,42.562625,27.638041,Burgas
4922773860,school,school,"ОУ ""Отец Паисий""",43.056138,25.034749,Gabrovo
4931066108,pharmacy,pharmacy,Медея,42.680746,23.372371,Sofia (Capital)
4936781524,school,school,,43.257985,28.027425,Varna
4941463026,pharmacy,pharmacy,,42.746485,23.231426,Sofia (Capital)
4942567876,pharmacy,pharmacy,,42.17027,27.850417,Burgas
4942970816,clinic,doctors,,43.111992,27.828136,Varna
4944691054,pharmacy,pharmacy,Салвия,43.079222,25.628168,Veliko Tarnovo
4946070490,pharmacy,pharmacy,Medico+,42.663666,23.257159,Sofia (Capital)
4947500077,pharmacy,pharmacy,Медея,42.702248,23.323273,Sofia (Capital)
4947500447,pharmacy,pharmacy,Pharma Expert,42.707838,23.322625,Sofia (Capital)
4956048902,pharmacy,pharmacy,Benu,42.662981,23.316924,Sofia (Capital)
4959698147,pharmacy,pharmacy,Марешки,42.428412,25.62851,Stara Zagora
4959698148,pharmacy,pharmacy,Фрамар,42.428414,25.626732,Stara Zagora
4959698151,pharmacy,pharmacy,Фрамар,42.427181,25.623757,Stara Zagora
4959698152,pharmacy,pharmacy,Фрамар,42.42446,25.624998,Stara Zagora
4962755794,pharmacy,pharmacy,Нове фарм,42.675623,23.289537,Sofia (Capital)
4964736958,pharmacy,pharmacy,Елиа,42.675695,23.299985,Sofia (Capital)
4967073627,pharmacy,pharmacy,Sigma,42.696283,23.349577,Sofia (Capital)
4968049581,pharmacy,pharmacy,SOpharmacy,42.152079,24.745908,Plovdiv
4969197990,kindergarten,kindergarten,Къщата на Мая,42.674503,23.298736,Sofia (Capital)
4973443624,school,school,"ОУ ""Захари Стоянов""",43.21708,27.939386,Varna
4978161825,clinic,clinic,Калимат,42.671876,23.285843,Sofia (Capital)
4979862121,clinic,clinic,Лаборатория Спектър,42.673648,23.34915,Sofia (Capital)
4991018979,hospital,hospital,МЦ Нова,43.23475,27.890411,Varna
4991154882,pharmacy,pharmacy,Нота бене,42.69918,23.338314,Sofia (Capital)
4993377309,pharmacy,pharmacy,Лида,42.670971,23.302057,Sofia (Capital)
4993926003,pharmacy,pharmacy,Детелина,42.727377,23.300812,Sofia (Capital)
4993926004,pharmacy,pharmacy,,42.72756,23.300559,Sofia (Capital)
4994022923,clinic,doctors,local doctor,43.042686,25.89151,Veliko Tarnovo
4998337077,school,school,Математическа гимназия „Доктор Петър Берон“,43.217073,27.93855,Varna
4998591218,school,school,Мария-Жанет,42.669805,23.283917,Sofia (Capital)
5005531544,pharmacy,pharmacy,,42.238273,27.774438,Burgas
5005533322,pharmacy,pharmacy,,42.236865,27.773381,Burgas
5005955004,pharmacy,pharmacy,,42.669875,23.295681,Sofia (Capital)
5008380824,clinic,doctors,МЦ Бадемова гора,42.66905,23.301041,Sofia (Capital)
5008380834,pharmacy,pharmacy,Ками-КМ,42.669355,23.301764,Sofia (Capital)
5009502672,pharmacy,pharmacy,,42.423492,27.694413,Burgas
5011873270,pharmacy,pharmacy,Аптека Хаифарм,42.41901,27.694398,Burgas
5012859878,pharmacy,pharmacy,Subra,42.668577,23.279174,Sofia (Capital)
5012885034,school,school,Стефчето,42.668627,23.282994,Sofia (Capital)
5013394125,clinic,clinic,,42.668399,23.285945,Sofia (Capital)
5015428725,pharmacy,pharmacy,БГ,42.668934,23.289248,Sofia (Capital)
5018241104,clinic,doctors,,42.671111,23.321528,Sofia (Capital)
5020777261,pharmacy,pharmacy,,42.618308,25.389146,Stara Zagora
